MusicXML Sağ El Transcript (RH only, repeat+volta+DC/DS/Coda, TS-based)
Generated UTC: 2025-09-18T06:25:18.152298+00:00
Linear measures: 2000
Events: 12235
Script version: 1.0.0
---
time_sec	dur_sec	pitches_sci	dyn	art
0.000	0.125	B4		
0.125	0.125	A4		
0.250	0.125	G#4		
0.375	0.125	A4		
1.000	0.250	C5		staccato
1.250	0.250	rest		
1.500	0.125	D5		
1.625	0.125	C5		
1.750	0.125	B4		
1.875	0.125	C5		
2.750	0.250	E5		staccato
3.000	0.250	rest		
3.250	0.125	F5		
3.375	0.125	E5		
3.500	0.125	D#5		
3.625	0.125	E5		
4.500	0.125	B5		
4.625	0.125	A5		
4.750	0.125	G#5		
4.875	0.125	A5		
5.000	0.125	B5		
5.125	0.125	A5		
5.250	0.125	G#5		
5.375	0.125	A5		
6.000	0.500	C6		
6.500	0.250	A5		staccato
6.750	0.250	C6		staccato
7.750	0.000	G5		
7.750	0.000	A5		
7.750	0.250	B5		staccato
8.000	0.250	F#5		staccato
8.250	0.250	A5		
8.250	0.250	E5		staccato
8.500	0.250	G5		
8.500	0.250	F#5		staccato
8.750	0.250	A5		
10.250	0.000	G5		
10.250	0.000	A5		
10.250	0.250	B5		staccato
10.500	0.250	F#5		staccato
10.750	0.250	A5		
10.750	0.250	E5		staccato
11.000	0.250	G5		
11.000	0.250	F#5		staccato
11.250	0.250	A5		
12.750	0.000	G5		
12.750	0.000	A5		
12.750	0.250	B5		staccato
13.000	0.250	F#5		staccato
13.250	0.250	A5		
13.250	0.250	E5		staccato
13.500	0.250	G5		
13.500	0.250	D#5		staccato
13.750	0.250	F#5		
14.750	0.500	E5		
15.250	0.250	C5		staccato
15.500	0.250	E5		
15.500	0.250	D5		staccato
15.750	0.250	F5		
16.250	0.250	E5		staccato
16.500	0.250	G5		
16.500	0.250	E5		staccato
16.750	0.250	G5		
16.750	0.125	A5		
16.875	0.125	G5		
17.000	0.125	F5		
17.125	0.125	E5		
17.750	0.500	D5		
17.750	0.250	B4		
18.000	0.250	G4		
18.250	0.250	C5		staccato
18.500	0.250	E5		
18.500	0.250	D5		staccato
18.750	0.250	F5		
19.250	0.250	E5		staccato
19.500	0.250	G5		
19.500	0.250	E5		staccato
19.750	0.250	G5		
19.750	0.125	A5		
19.875	0.125	G5		
