MusicXML Sağ El Transcript (RH only, repeat+volta+DC/DS/Coda, TS-based)
Generated UTC: 2025-09-30T19:14:49.693874+00:00
Linear measures: 254
Events: 1986
Script version: 1.2.2
---
time_sec	dur_sec	pitches_sci	dyn	art
0.000	0.259	A4		
0.259	0.259	E5		
0.259	0.259	A5		
0.259	0.194	rest		
0.453	0.065	A4		
0.517	0.129	A4		
0.647	0.129	C5		
0.776	0.129	B4		
0.905	0.129	A4		
1.034	0.259	E5		
1.293	0.259	B5		
1.293	0.259	E6		
1.293	0.194	rest		
1.487	0.065	E4		
1.552	0.129	E4		
1.681	0.129	G#4		
1.810	0.129	F#4		
1.940	0.129	E4		
2.069	0.259	A4		
2.328	0.259	E5		
2.328	0.259	A5		
2.328	0.194	rest		
2.522	0.065	A4		
2.586	0.129	A4		
2.716	0.129	C5		
2.845	0.129	B4		
2.974	0.129	A4		
3.103	0.259	E5		
3.362	0.259	B5		
3.362	0.259	E6		
3.362	0.259	rest		
3.621	0.517	E4		
4.138	0.259	A4		
4.397	0.259	E5		
4.397	0.259	A5		
4.397	0.194	rest		
4.591	0.065	A4		
4.655	0.129	A4		
4.784	0.129	C5		
4.914	0.129	B4		
5.043	0.129	A4		
5.172	0.259	E5		
5.431	0.259	B5		
5.431	0.259	E6		
5.431	0.194	rest		
5.625	0.065	E4		
5.690	0.129	E4		
5.819	0.129	G#4		
5.948	0.129	F#4		
6.078	0.129	E4		
6.207	0.259	A4		
6.466	0.259	E5		
6.466	0.259	A5		
6.466	0.194	rest		
6.659	0.065	A4		
6.724	0.129	A4		
6.853	0.129	C5		
6.983	0.129	B4		
7.112	0.129	A4		
7.241	0.259	E5		
7.500	0.259	B5		
7.500	0.259	E6		
7.500	0.259	rest		
7.759	0.517	E4		
8.276	0.259	A5		
8.534	0.259	C6		
8.534	0.259	A6		
8.534	0.194	rest		
8.728	0.065	A5		
8.793	0.129	A5		
8.922	0.129	Bb5		
9.052	0.129	A5		
9.181	0.129	G5		
9.310	0.259	F5		
9.569	0.259	A5		
9.569	0.259	F6		
9.569	0.194	rest		
9.763	0.065	D5		
9.828	0.129	D5		
9.957	0.129	F5		
10.086	0.129	E5		
