MusicXML Sağ El Transcript (RH only, repeat+volta+DC/DS/Coda, TS-based)
Generated UTC: 2025-09-29T15:41:19.308830+00:00
Linear measures: 55
Events: 658
Script version: 1.2.2
---
time_sec	dur_sec	pitches_sci	dyn	art
0.000	0.400	G4		
0.400	0.400	B4		
0.400	0.400	G5		
0.400	0.200	rest		
0.600	0.200	D5		
0.800	0.400	G4		
1.200	0.400	G5		
1.200	0.200	rest		
1.400	0.200	D5		
1.600	0.200	G4		
1.800	0.200	G5		
1.800	0.200	D5		
2.000	0.200	G4		
2.200	0.200	G5		
2.200	0.200	B4		
2.400	0.200	B5		
2.400	0.400	D5		
2.800	0.400	D6		
2.800	0.400	rest		
3.200	0.400	C5		
3.600	0.400	C6		
3.600	0.200	rest		
3.800	0.200	A5		
4.000	0.400	C5		
4.400	0.400	C6		
4.400	0.200	rest		
4.600	0.200	A5		
4.800	0.200	C5		
5.000	0.200	C6		
5.000	0.200	A5		
5.200	0.200	F#5		
5.400	0.200	A4		
5.600	0.200	A5		
5.600	0.400	D5		
6.000	0.400	rest		
6.400	0.200	G4		
6.600	0.200	B4		
6.600	0.200	G5		
6.600	0.200	rest		
6.800	0.600	G5		
7.400	0.200	B5		
7.600	0.200	A5		
7.800	0.200	G5		staccato
8.000	0.200	A5		
8.200	0.200	F#5		
8.400	0.600	F#5		
9.000	0.200	A5		
9.200	0.200	C6		
9.400	0.200	F#5		
9.600	0.200	A5		
9.800	0.200	G5		
10.000	0.600	G5		
10.600	0.200	B5		
10.800	0.200	A5		
11.000	0.200	G5		staccato
11.200	0.200	G5		
11.400	0.200	F#5		
11.600	0.600	F#5		
12.200	0.200	A5		
12.400	0.200	C6		
12.600	0.200	F#5		staccato
12.800	0.200	B4		staccato
13.000	0.200	G5		
13.000	0.200	G5		staccato
13.200	0.100	C5		
13.300	0.100	G5		
13.300	0.100	F#5		
13.400	0.100	E5		
13.500	0.100	F#5		
13.600	0.200	D5		staccato
13.800	0.200	G5		
13.800	0.200	G5		
14.000	0.100	B4		
14.100	0.100	B5		
14.100	0.100	A5		
14.200	0.100	G5		
14.300	0.100	A5		
14.400	0.200	B4		
14.600	0.200	B5		
14.600	0.200	B5		
14.800	0.100	F#5		
14.900	0.100	D6		
14.900	0.100	C6		
15.000	0.100	B5		
15.100	0.100	C6		
15.200	0.400	D5		
15.600	0.400	G5		
15.600	0.400	D6		
15.600	0.400	rest		
16.000	0.800	B4		
16.800	0.800	D5		
16.800	0.800	C5		
17.600	0.800	E5		
17.600	0.000	D5		
17.600	0.400	A4		
18.000	0.400	C5		
18.000	0.400	A4		
18.400	0.400	C5		
18.400	0.000	C5		
18.400	0.400	G4		
18.800	0.400	B4		
18.800	0.400	G4		
19.200	0.400	B4		
19.200	0.000	B4		
19.200	0.400	E4		
19.600	0.400	A4		
19.600	0.400	E4		
20.000	0.400	A4		
20.000	0.200	C4		
20.200	0.200	G4		
20.200	0.200	F#4		
20.400	0.200	E4		staccato
20.600	0.200	F#4		staccato
20.800	0.200	D4		
21.000	0.200	G4		
21.000	0.200	rest		
21.200	0.200	D4		
21.400	0.200	F#4		
21.400	0.200	A4		
21.400	0.200	rest		
21.600	0.200	D4		
21.800	0.200	G4		
21.800	0.200	B4		
21.800	0.200	rest		
22.000	0.400	rest		
22.400	0.800	B4		
23.200	0.800	D5		
23.200	0.800	C5		
24.000	0.800	E5		
24.000	0.200	B4		marcato
24.200	0.200	D5		
24.200	0.200	A4		staccato
24.400	0.200	C5		
24.400	0.200	A4		staccato
24.600	0.200	C5		
24.600	0.200	A4		staccato
24.800	0.200	C5		
24.800	0.200	A4		marcato
25.000	0.200	C5		
25.000	0.200	G4		staccato
25.200	0.200	B4		
25.200	0.200	G4		staccato
25.400	0.200	B4		
25.400	0.200	G4		staccato
25.600	0.200	B4		
25.600	0.200	E4		
25.800	0.200	B4		
25.800	0.200	A4		
26.000	0.200	E4		staccato
26.200	0.200	A4		
26.200	0.200	E4		staccato
26.400	0.200	A4		
26.400	0.200	C4		
26.600	0.200	G4		
26.600	0.200	F#4		
26.800	0.200	C4		
27.000	0.200	E4		
27.000	0.200	C4		
27.200	0.200	F#4		
27.200	0.800	B3		
28.000	0.800	G4		
28.000	0.200	B3		
28.200	0.200	G4		
28.200	0.100	G4		
28.300	0.050	F#4		
28.350	0.050	G4		
28.400	0.200	C4		
28.600	0.200	A4		
28.600	0.200	A3		
28.800	0.200	F#4		
28.800	0.800	G4		
29.600	0.800	B4		
29.600	0.200	G4		
29.800	0.200	B4		
29.800	0.100	G4		
29.900	0.100	B4		
29.900	0.050	A4		
29.950	0.050	B4		
30.000	0.200	A4		
30.200	0.200	C5		
30.200	0.200	F#4		
30.400	0.200	A4		
30.400	0.400	B4		
30.800	0.400	D5		
30.800	0.400	G4		
31.200	0.200	C5		
31.400	0.200	E5		
31.400	0.200	G4		
31.600	0.200	C5		
31.800	0.200	F#5		
31.800	0.200	A4		
32.000	0.200	D5		
32.200	0.200	G5		
32.200	0.200	B4		
32.400	0.200	D5		
32.600	0.200	A5		
32.600	0.200	A4		
32.800	0.200	D5		
33.000	0.200	B5		
33.000	0.200	B4		
33.200	0.200	G5		
33.400	0.200	C#6		
33.400	0.200	C#5		
33.600	0.600	D5		
34.200	0.600	F#5		
34.200	0.600	D6		
34.200	0.200	A5		
34.400	0.300	E5		
34.700	0.300	C#6		
34.700	0.100	A5		
34.800	0.300	E5		
35.100	0.300	C#6		
35.100	0.100	A5		
35.200	0.600	D5		
35.800	0.600	D6		
35.800	0.200	A5		
36.000	0.300	E5		
36.300	0.300	C#6		
36.300	0.100	A5		
36.400	0.300	E5		
36.700	0.300	C#6		
36.700	0.100	A5		
36.800	0.100	D5		
36.900	0.100	B4		
37.000	0.100	D6		
37.000	0.100	E5		
37.100	0.100	B4		
37.200	0.100	D6		
37.200	0.200	A5		
37.400	0.100	G5		
37.500	0.100	D5		
37.600	0.100	D6		
37.600	0.100	F#5		
37.700	0.100	D5		
37.800	0.100	D6		
37.800	0.100	G5		
37.900	0.100	D5		
38.000	0.100	D6		
38.000	0.200	A5		
38.200	0.100	F#5		
38.300	0.100	D5		
38.400	0.100	D6		
38.400	0.200	D5		
38.600	0.200	E5		
38.600	0.200	B5		
38.600	0.200	D6		
38.600	0.100	A5		
38.700	0.100	D5		
38.800	0.100	E5		
38.800	0.100	D6		
38.800	0.200	G5		
39.000	0.100	A5		
39.100	0.100	D5		
39.200	0.100	E5		
39.200	0.100	D6		
39.200	0.100	B5		
39.300	0.100	C5		
39.400	0.100	D5		
39.400	0.100	D6		
39.400	0.100	A5		
39.500	0.100	C5		
39.600	0.100	D5		
39.600	0.100	D6		
39.600	0.200	G#5		
39.800	0.100	B5		
39.900	0.100	C5		
40.000	0.100	D5		
40.000	0.100	D6		
40.000	0.200	E5		
40.200	0.200	C#6		
40.200	0.200	A5		
40.400	0.200	D5		
40.600	0.200	F#5		
40.600	0.200	D6		
40.600	0.200	A5		
40.800	0.200	E5		
41.000	0.200	C#6		
41.000	0.200	A5		
41.200	0.200	D5		
41.400	0.200	F#5		
41.400	0.200	D6		
41.400	0.200	A5		
41.600	0.200	E5		
41.800	0.200	C#6		
41.800	0.200	A4		
42.000	0.200	A4		
42.200	0.200	A4		
42.400	0.400	A4		
42.800	0.400	rest		
43.200	0.600	A4		
43.800	0.600	A5		
43.800	0.100	G4		
43.900	0.100	G5		
43.900	0.100	F#4		
44.000	0.100	E5		
44.000	0.100	E4		
44.100	0.100	C5		
44.100	0.100	D4		
44.200	0.100	B4		
44.200	0.200	rest		
44.400	0.400	B4		
44.800	0.400	F#5		
44.800	0.400	B5		
44.800	0.200	B4		
45.000	0.200	G5		
45.000	0.200	rest		
45.200	0.200	G4		
45.400	0.200	E5		
45.400	0.200	rest		
45.600	0.200	A4		
45.800	0.200	E5		
45.800	0.200	A5		
45.800	0.200	rest		
46.000	0.200	C#4		
46.200	0.200	rest		
46.400	0.600	F#4		
47.000	0.600	F#5		
47.000	0.100	E5		
47.100	0.100	D5		
47.200	0.100	C#5		
47.300	0.200	B4		
47.500	0.200	rest		
47.700	0.200	G4		
47.900	0.200	E5		
47.900	0.200	G5		
47.900	0.100	rest		
48.000	0.800	F#4		
48.800	0.800	D5		
48.800	0.800	F#5		
48.800	0.400	E4		
49.200	0.400	C#5		
49.200	0.400	E5		
49.200	0.400	rest		
49.600	0.600	A4		
50.200	0.200	A5		staccato
50.400	0.200	A5		staccato
50.600	0.100	G4		
50.700	0.100	F#4		
50.800	0.100	E4		
50.900	0.200	D4		staccato
51.100	0.200	A5		
51.100	0.100	A5		staccato
51.200	0.200	E4		staccato
51.400	0.200	G4		
51.400	0.200	A5		
51.400	0.200	A5		staccato
51.600	0.200	D4		staccato
51.800	0.200	E4		
51.800	0.200	A5		
51.800	0.200	A5		staccato
52.000	0.200	C#4		
52.200	0.200	E4		
52.200	0.200	A4		
52.200	0.200	A5		
52.200	0.200	A5		staccato
52.400	0.200	A3		staccato
52.600	0.200	E4		
52.600	0.200	G5		
52.600	0.200	B5		
52.600	0.200	C#6		staccato
52.800	0.200	B3		
53.000	0.200	E4		
53.000	0.200	G5		
53.000	0.200	C#6		
53.000	0.200	D4		
53.200	0.200	F#5		
53.200	0.200	D6		
53.200	0.200	rest		
53.400	0.200	G5		staccato
53.600	0.200	B5		
53.600	0.200	G5		
53.800	0.200	B5		
53.800	0.200	F#5		
54.000	0.200	A5		
54.000	0.200	rest		
54.200	0.200	G4		
54.400	0.200	C#5		
54.400	0.400	F#4		
54.800	0.400	D5		
54.800	0.200	rest		
55.000	0.200	A5		
55.200	0.200	D6		
55.400	0.200	C#6		
55.600	0.200	B5		
55.800	0.200	A5		
56.000	0.200	A3		
56.200	0.200	C#4		
56.200	0.200	E4		
56.200	0.200	B5		
56.200	0.200	C#4		
56.400	0.200	E4		
56.400	0.200	A5		
56.400	0.200	D4		
56.600	0.200	F#4		
56.600	0.200	D4		staccato
56.800	0.200	F#4		
56.800	0.200	A5		
56.800	0.200	E4		staccato
57.000	0.200	G4		
57.000	0.200	A5		
57.000	0.200	E4		staccato
57.200	0.200	G4		
57.200	0.200	A5		
57.200	0.200	C#4		staccato
57.400	0.200	E4		
57.400	0.200	A5		
57.400	0.200	C#4		staccato
57.600	0.200	E4		
57.600	0.200	A5		
57.600	0.200	B5		
57.800	0.200	A5		
58.000	0.200	rest		
58.200	0.200	A5		
58.400	0.200	D6		
58.600	0.200	C#6		
58.800	0.200	B5		
59.000	0.200	A5		
59.200	0.200	A3		
59.400	0.200	C#4		
59.400	0.200	E4		
59.400	0.200	B5		
59.400	0.200	C#4		
59.600	0.200	E4		
59.600	0.200	A5		
59.600	0.200	D4		
59.800	0.200	F#4		
59.800	0.200	D4		
60.000	0.200	F#4		
60.000	0.200	A5		
60.000	0.200	E4		
60.200	0.200	G4		
60.200	0.200	A5		
60.200	0.200	E4		
60.400	0.200	G4		
60.400	0.200	A5		
60.400	0.200	C#4		
60.600	0.200	E4		
60.600	0.200	A5		
60.600	0.200	C#4		
60.800	0.200	E4		
60.800	0.200	A5		
60.800	0.200	D4		
61.000	0.200	F#4		
61.000	0.200	B5		
61.000	0.200	A5		
61.200	0.400	rest		
61.600	0.200	B4		
61.800	0.200	F#5		
61.800	0.200	B5		
61.800	0.100	A5		
61.900	0.100	G5		
62.000	0.400	F#5		
62.400	0.400	E5		
62.800	0.400	G5		
62.800	0.400	rest		
63.200	0.100	A4		
63.300	0.100	E5		
63.300	0.100	A5		
63.300	0.100	rest		
63.400	0.100	A4		
63.500	0.100	E5		
63.500	0.100	A5		
63.500	0.100	rest		
63.600	0.100	A4		
63.700	0.100	E5		
63.700	0.100	G5		
63.700	0.100	F#5		
63.800	0.100	E5		
63.900	0.100	A4		
64.000	0.100	E5		
64.000	0.200	D5		
64.200	0.200	F#5		
64.200	0.200	F#5		
64.400	0.200	G5		
64.600	0.200	A5		
64.800	0.200	G5		
65.000	0.200	B5		
65.000	0.100	A5		
65.100	0.100	C#6		
65.100	0.100	B5		
65.200	0.100	D6		
65.200	0.200	A5		
65.400	0.200	C#6		
65.400	0.200	G5		staccato
65.600	0.200	B5		
65.600	0.200	G5		
65.800	0.200	B5		
65.800	0.200	F#5		
66.000	0.200	A5		
66.000	0.200	D5		staccato
66.200	0.200	F#5		
66.200	0.200	F#5		staccato
66.400	0.200	A5		
66.400	0.200	F#5		
66.600	0.200	A5		
66.600	0.200	E5		
66.800	0.200	G5		
66.800	0.200	D5		staccato
67.000	0.200	F#5		
67.000	0.200	C#5		staccato
67.200	0.200	E5		
67.200	0.400	D5		
67.600	0.200	rest		
67.800	0.200	A5		staccato
68.000	0.200	D6		
68.200	0.200	C#6		
68.400	0.200	B5		
68.600	0.200	A5		
68.800	0.200	A3		
69.000	0.200	C#4		
69.000	0.200	E4		
69.000	0.200	B5		
69.000	0.200	C#4		
69.200	0.200	E4		
69.200	0.200	A5		
69.200	0.200	D4		
69.400	0.200	F#4		
69.400	0.200	D4		staccato
69.600	0.200	F#4		
69.600	0.200	A5		
69.600	0.200	E4		staccato
69.800	0.200	G4		
69.800	0.200	A5		
69.800	0.200	E4		staccato
70.000	0.200	G4		
70.000	0.200	A5		
70.000	0.200	C#4		staccato
70.200	0.200	E4		
70.200	0.200	A5		
70.200	0.200	C#4		staccato
70.400	0.200	E4		
70.400	0.200	A5		
70.400	0.200	B5		
70.600	0.200	A5		
70.800	0.200	rest		
71.000	0.200	A5		staccato
71.200	0.200	D6		
71.400	0.200	C#6		
71.600	0.200	B5		
71.800	0.200	A5		
72.000	0.200	A3		
72.200	0.200	C#4		
72.200	0.200	E4		
72.200	0.200	B5		
72.200	0.200	C#4		
72.400	0.200	E4		
72.400	0.200	A5		
72.400	0.200	D4		
72.600	0.200	F#4		
72.600	0.200	D4		staccato
72.800	0.200	F#4		
72.800	0.200	A5		
72.800	0.200	E4		staccato
73.000	0.200	G4		
73.000	0.200	A5		
73.000	0.200	E4		staccato
73.200	0.200	G4		
73.200	0.200	A5		
73.200	0.200	C#4		staccato
73.400	0.200	E4		
73.400	0.200	A5		
73.400	0.200	C#4		staccato
73.600	0.200	E4		
73.600	0.200	A5		
73.600	0.200	D4		
73.800	0.200	F#4		
73.800	0.200	B5		
73.800	0.200	A5		
74.000	0.400	rest		
74.400	0.400	B5		
74.800	0.100	A5		
74.900	0.100	G5		
75.000	0.100	F#5		
75.100	0.100	F#5		
75.200	0.400	E5		
75.600	0.400	G5		
75.600	0.400	rest		
76.000	0.400	A5		
76.400	0.100	G5		
76.500	0.100	F#5		
76.600	0.100	E5		
76.700	0.100	E5		
76.800	0.200	D5		
77.000	0.200	F#5		
77.000	0.200	F#5		staccato
77.200	0.200	G5		staccato
77.400	0.200	A5		staccato
77.600	0.200	G5		
77.800	0.200	B5		
77.800	0.100	A5		
77.900	0.100	C#6		
77.900	0.100	B5		
