MusicXML Sağ El Transcript (RH only, repeat+volta+DC/DS/Coda, TS-based)
Generated UTC: 2025-09-18T08:26:33.583868+00:00
Linear measures: 232
Events: 1516
Script version: 1.2.1
---
time_sec	dur_sec	pitches_sci	dyn	art
0.000	0.125	B4		
0.125	0.125	A4		
0.250	0.125	G#4		
0.375	0.125	A4		
1.000	0.250	C5		staccato
1.250	0.250	rest		
1.500	0.125	D5		
1.625	0.125	C5		
1.750	0.125	B4		
1.875	0.125	C5		
2.000	0.250	E5		staccato
2.250	0.250	rest		
2.500	0.125	F5		
2.625	0.125	E5		
2.750	0.125	D#5		
2.875	0.125	E5		
3.000	0.125	B5		
3.125	0.125	A5		
3.250	0.125	G#5		
3.375	0.125	A5		
3.500	0.125	B5		
3.625	0.125	A5		
3.750	0.125	G#5		
3.875	0.125	A5		
4.000	0.500	C6		
4.500	0.250	A5		staccato
4.750	0.250	C6		staccato
5.000	0.000	G5		
5.000	0.000	A5		
5.000	0.250	B5		staccato
5.250	0.250	F#5		staccato
5.500	0.250	A5		
5.500	0.250	E5		staccato
5.750	0.250	G5		
5.750	0.250	F#5		staccato
6.000	0.250	A5		
6.000	0.000	G5		
6.000	0.000	A5		
6.000	0.250	B5		staccato
6.250	0.250	F#5		staccato
6.500	0.250	A5		
6.500	0.250	E5		staccato
6.750	0.250	G5		
6.750	0.250	F#5		staccato
7.000	0.250	A5		
7.000	0.000	G5		
7.000	0.000	A5		
7.000	0.250	B5		staccato
7.250	0.250	F#5		staccato
7.500	0.250	A5		
7.500	0.250	E5		staccato
7.750	0.250	G5		
7.750	0.250	D#5		staccato
8.000	0.250	F#5		
8.000	0.500	E5		
8.500	0.250	C5		staccato
8.750	0.250	E5		
8.750	0.250	D5		staccato
9.000	0.250	F5		
9.000	0.250	E5		staccato
9.250	0.250	G5		
9.250	0.250	E5		staccato
9.500	0.250	G5		
9.500	0.125	A5		
9.625	0.125	G5		
9.750	0.125	F5		
9.875	0.125	E5		
10.000	0.500	D5		
10.000	0.250	B4		
10.250	0.250	G4		
10.500	0.250	C5		staccato
10.750	0.250	E5		
10.750	0.250	D5		staccato
11.000	0.250	F5		
11.000	0.250	E5		staccato
11.250	0.250	G5		
11.250	0.250	E5		staccato
11.500	0.250	G5		
11.500	0.125	A5		
11.625	0.125	G5		
11.750	0.125	F5		
