Piano Sonata No.11 - Rondo alla Turca (Enhanced Export)
Generated UTC: 2025-09-18T04:46:27.502796
Source: HAHA.musicxml
Linear measures: 20
Events: 215
---
time_sec	dur_sec	hand	pitches_sci	dyn	art
0.000	0.500	LH	rest		
0.000	0.125	RH	B4		
0.125	0.125	RH	A4		
0.250	0.125	RH	G#4		
0.375	0.125	RH	A4		
0.500	0.250	LH	A3		
0.500	0.250	RH	C5		staccato
0.750	0.250	LH	C4		
0.750	0.250	RH	rest		
1.000	0.250	LH	E4		
1.000	0.125	RH	D5		
1.125	0.125	RH	C5		
1.250	0.250	LH	C4		
1.250	0.125	RH	B4		
1.375	0.125	RH	C5		
1.500	0.250	LH	E4		
1.500	0.250	RH	E5		staccato
1.750	0.250	LH	C4		
1.750	0.250	RH	rest		
2.000	0.250	LH	E4		
2.000	0.125	RH	F5		
2.125	0.125	RH	E5		
2.250	0.250	LH	A3		
2.250	0.125	RH	D#5		
2.375	0.125	RH	E5		
2.500	0.250	LH	C4		
2.500	0.125	RH	B5		
2.625	0.125	RH	A5		
2.750	0.250	LH	E4		
2.750	0.125	RH	G#5		
2.875	0.125	RH	A5		
3.000	0.250	LH	C4		
3.000	0.125	RH	B5		
3.125	0.125	RH	A5		
3.250	0.250	LH	E4		
3.250	0.125	RH	G#5		
3.375	0.125	RH	A5		
3.500	0.250	LH	C4		
3.500	0.500	RH	C6		
3.750	0.250	LH	E4		
4.000	0.250	LH	A3		
4.000	0.250	RH	A5		staccato
4.250	0.250	LH	C4		
4.250	0.250	RH	C6		staccato
4.500	0.250	LH	E4		
4.500	0.000	RH	G5		
4.500	0.000	RH	A5		
4.500	0.250	RH	B5		staccato
4.750	0.250	LH	A3		
4.750	0.250	RH	F#5		staccato
5.000	0.250	LH	C4		
5.000	0.250	RH	A5		
5.250	0.250	LH	E4		
5.250	0.250	RH	E5		staccato
5.500	0.250	LH	A3		
5.500	0.250	RH	G5		
5.750	0.250	LH	C4		
5.750	0.250	RH	F#5		staccato
6.000	0.250	LH	E4		
6.000	0.250	RH	A5		
6.250	0.250	LH	C4		
6.250	0.000	RH	G5		
6.250	0.000	RH	A5		
6.250	0.250	RH	B5		staccato
6.500	0.250	LH	E4		
6.500	0.250	RH	F#5		staccato
6.750	0.250	LH	C4		
6.750	0.250	RH	A5		
7.000	0.250	LH	E4		
7.000	0.250	RH	E5		staccato
7.250	0.250	LH	E3		
7.250	0.250	RH	G5		
7.500	0.250	LH	B3		
7.500	0.250	RH	F#5		staccato
7.750	0.250	LH	E4		
7.750	0.250	RH	A5		
8.000	0.250	LH	B3		
8.000	0.000	RH	G5		
8.000	0.000	RH	A5		
8.000	0.250	RH	B5		staccato
8.250	0.250	LH	E4		
8.250	0.250	RH	F#5		staccato
8.500	0.250	LH	B3		
8.500	0.250	RH	A5		
8.750	0.250	LH	E4		
8.750	0.250	RH	E5		staccato
9.000	0.250	LH	E3		
9.000	0.250	RH	G5		
9.250	0.250	LH	B3		
9.250	0.250	RH	D#5		staccato
9.500	0.250	LH	E4		
9.500	0.250	RH	F#5		
9.750	0.250	LH	B3		
9.750	0.500	RH	E5		
10.000	0.250	LH	E4		
10.250	0.250	LH	B3		
10.250	0.250	RH	C5		staccato
10.500	0.250	LH	E4		
10.500	0.250	RH	E5		
10.750	0.250	LH	E3		
10.750	0.250	RH	D5		staccato
11.000	0.250	LH	B3		
11.000	0.250	RH	F5		
11.250	0.250	LH	E4		
11.250	0.250	RH	E5		staccato
11.500	0.250	LH	B2		
11.500	0.250	RH	G5		
11.750	0.250	LH	B3		
11.750	0.250	RH	E5		staccato
12.000	0.500	LH	E3		
12.000	0.250	RH	G5		
12.250	0.125	RH	A5		
12.375	0.125	RH	G5		
12.500	0.500	LH	rest		
12.500	0.125	RH	F5		
12.625	0.125	RH	E5		
12.750	0.500	RH	D5		
13.000	0.250	LH	C3		
13.250	0.250	LH	C4		
13.250	0.250	RH	C5		staccato
13.500	0.250	LH	E3		
13.500	0.250	RH	E5		
13.750	0.250	LH	E4		
13.750	0.250	RH	D5		staccato
14.000	0.500	LH	G3		
14.000	0.250	RH	F5		
14.250	0.250	RH	B4		
14.500	0.500	LH	rest		
14.500	0.250	RH	G4		
14.750	0.250	RH	E5		staccato
15.000	0.250	LH	C3		
15.000	0.250	RH	G5		
15.250	0.250	LH	C4		
15.250	0.250	RH	E5		staccato
15.500	0.250	LH	E3		
15.500	0.250	RH	G5		
15.750	0.250	LH	E4		
15.750	0.125	RH	A5		
15.875	0.125	RH	G5		
16.000	0.500	LH	G3		
16.000	0.125	RH	F5		
16.125	0.125	RH	E5		
16.250	0.500	RH	B4		
16.500	0.500	LH	rest		
16.750	0.500	RH	D5		
17.000	0.250	LH	A2		
17.250	0.250	LH	A3		
17.250	0.250	RH	A4		staccato
17.500	0.250	LH	C3		
17.500	0.250	RH	C5		
17.750	0.250	LH	C4		
17.750	0.250	RH	B4		staccato
18.000	0.500	LH	E3		
18.000	0.250	RH	D5		
18.250	0.250	RH	C5		staccato
18.500	0.500	LH	rest		
18.500	0.250	RH	E5		
18.750	0.250	RH	C5		staccato
