Piano Sonata No.11 - Rondo alla Turca (Enhanced Export)
Generated UTC: 2025-09-15T06:51:25.373733
Source: HAHA.musicxml
Linear measures: 20
Events: 215
---
time_sec	dur_sec	hand	pitches_sci	dyn	art
0.000	0.500	LH	rest		
0.000	0.125	RH	B4		
0.125	0.125	RH	A4		
0.250	0.125	RH	G#4		
0.375	0.125	RH	A4		
0.500	2.000	LH	A3		
0.500	2.000	RH	C5		staccato
2.500	2.000	LH	C4		
2.500	2.000	RH	rest		
4.500	2.000	LH	E4		
4.500	1.000	RH	D5		
5.500	1.000	RH	C5		
6.500	2.000	LH	C4		
6.500	1.000	RH	B4		
7.500	1.000	RH	C5		
8.500	2.000	LH	E4		
8.500	2.000	RH	E5		staccato
10.500	2.000	LH	C4		
10.500	2.000	RH	rest		
12.500	2.000	LH	E4		
12.500	1.000	RH	F5		
13.500	1.000	RH	E5		
14.500	2.000	LH	A3		
14.500	1.000	RH	D#5		
15.500	1.000	RH	E5		
16.500	2.000	LH	C4		
16.500	1.000	RH	B5		
17.500	1.000	RH	A5		
18.500	2.000	LH	E4		
18.500	1.000	RH	G#5		
19.500	1.000	RH	A5		
20.500	2.000	LH	C4		
20.500	1.000	RH	B5		
21.500	1.000	RH	A5		
22.500	2.000	LH	E4		
22.500	1.000	RH	G#5		
23.500	1.000	RH	A5		
24.500	2.000	LH	C4		
24.500	4.000	RH	C6		
26.500	2.000	LH	E4		
28.500	2.000	LH	A3		
28.500	2.000	RH	A5		staccato
30.500	2.000	LH	C4		
30.500	2.000	RH	C6		staccato
32.500	2.000	LH	E4		
32.500	0.000	RH	G5		
32.500	0.000	RH	A5		
32.500	2.000	RH	B5		staccato
34.500	2.000	LH	A3		
34.500	2.000	RH	F#5		staccato
36.500	2.000	LH	C4		
36.500	2.000	RH	A5		
38.500	2.000	LH	E4		
38.500	2.000	RH	E5		staccato
40.500	2.000	LH	A3		
40.500	2.000	RH	G5		
42.500	2.000	LH	C4		
42.500	2.000	RH	F#5		staccato
44.500	2.000	LH	E4		
44.500	2.000	RH	A5		
46.500	2.000	LH	C4		
46.500	0.000	RH	G5		
46.500	0.000	RH	A5		
46.500	2.000	RH	B5		staccato
48.500	2.000	LH	E4		
48.500	2.000	RH	F#5		staccato
50.500	2.000	LH	C4		
50.500	2.000	RH	A5		
52.500	2.000	LH	E4		
52.500	2.000	RH	E5		staccato
54.500	2.000	LH	E3		
54.500	2.000	RH	G5		
56.500	2.000	LH	B3		
56.500	2.000	RH	F#5		staccato
58.500	2.000	LH	E4		
58.500	2.000	RH	A5		
60.500	2.000	LH	B3		
60.500	0.000	RH	G5		
60.500	0.000	RH	A5		
60.500	2.000	RH	B5		staccato
62.500	2.000	LH	E4		
62.500	2.000	RH	F#5		staccato
64.500	2.000	LH	B3		
64.500	2.000	RH	A5		
66.500	2.000	LH	E4		
66.500	2.000	RH	E5		staccato
68.500	2.000	LH	E3		
68.500	2.000	RH	G5		
70.500	2.000	LH	B3		
70.500	2.000	RH	D#5		staccato
72.500	2.000	LH	E4		
72.500	2.000	RH	F#5		
74.500	2.000	LH	B3		
74.500	4.000	RH	E5		
76.500	2.000	LH	E4		
78.500	2.000	LH	B3		
78.500	2.000	RH	C5		staccato
80.500	2.000	LH	E4		
80.500	2.000	RH	E5		
82.500	2.000	LH	E3		
82.500	2.000	RH	D5		staccato
84.500	2.000	LH	B3		
84.500	2.000	RH	F5		
86.500	2.000	LH	E4		
86.500	2.000	RH	E5		staccato
88.500	2.000	LH	B2		
88.500	2.000	RH	G5		
90.500	2.000	LH	B3		
90.500	2.000	RH	E5		staccato
92.500	4.000	LH	E3		
92.500	2.000	RH	G5		
94.500	1.000	RH	A5		
95.500	1.000	RH	G5		
96.500	4.000	LH	rest		
96.500	1.000	RH	F5		
97.500	1.000	RH	E5		
98.500	4.000	RH	D5		
100.500	2.000	LH	C3		
102.500	2.000	LH	C4		
102.500	2.000	RH	C5		staccato
104.500	2.000	LH	E3		
104.500	2.000	RH	E5		
106.500	2.000	LH	E4		
106.500	2.000	RH	D5		staccato
108.500	4.000	LH	G3		
108.500	2.000	RH	F5		
110.500	2.000	RH	B4		
112.500	4.000	LH	rest		
112.500	2.000	RH	G4		
114.500	2.000	RH	E5		staccato
116.500	2.000	LH	C3		
116.500	2.000	RH	G5		
118.500	2.000	LH	C4		
118.500	2.000	RH	E5		staccato
120.500	2.000	LH	E3		
120.500	2.000	RH	G5		
122.500	2.000	LH	E4		
122.500	1.000	RH	A5		
123.500	1.000	RH	G5		
124.500	4.000	LH	G3		
124.500	1.000	RH	F5		
125.500	1.000	RH	E5		
126.500	4.000	RH	B4		
128.500	4.000	LH	rest		
130.500	4.000	RH	D5		
132.500	2.000	LH	A2		
134.500	2.000	LH	A3		
134.500	2.000	RH	A4		staccato
136.500	2.000	LH	C3		
136.500	2.000	RH	C5		
138.500	2.000	LH	C4		
138.500	2.000	RH	B4		staccato
140.500	4.000	LH	E3		
140.500	2.000	RH	D5		
142.500	2.000	RH	C5		staccato
144.500	4.000	LH	rest		
144.500	2.000	RH	E5		
146.500	2.000	RH	C5		staccato
